1789 les amants de la bastille | Au palais royal
Comptine | Quand trois poules vont aux champs
Comptine | Savez-vous planter les choux
Comptine | Sur la route de Louviers
Comptine | Sur le pont d'Avignon
Comptine | Un jour la troupa campa
Comptine | Une souris verte
Comptine | Vent frais, vent du matin
Cookie Dingler | Femme Libérée
Cora Vaucaire | La complainte de la butte
Corentin Grevost | Ne me dis pas non
Corentin Grevost | Ne me dis pas non
Corneille | Avec classe
Corneille | Des pères, des hommes et des frères
Corneille | Ensemble
Corneille | Le jour après la fin du monde
Corneille | Les marchands de rêves
Corneille | Parce qu'on vient de loin
Corneille | Seul au monde
Corynne Charby | A pile ou face
Corynne Charby | Boule de flipper
Corynne Hermès | Si la vie est cadeau
Cotton Eye Joe | Version cévenole
Crazy Horse | Et surtout ne m'oublie pas
Crazy Horse | J'ai tant besoin de toi
Crazy Horse | Ne rentre pas ce soir
Cyril Cinélu | Quelque chose qui m'appartient
Dalida | A ma manière
Dalida | Bambino
Dalida | Bésame mucho
Dalida | Comme disait Mistinguett
Dalida | Dans le bleu du ciel bleu
Dalida | Darla dirladada
Dalida | Fini, la comédie
Dalida | Génération 78 
Dalida | Gigi in Paradisco
Dalida | Gigi l'Amoroso
Dalida | Gondolier
Dalida | Histoire d'un Amour
Dalida | Il venait d'avoir 18 ans
Dalida | Ils ont changé ma chanson
Dalida | J'ai rêvé
Dalida | J'attendrai
Dalida | Je ne sais plus
Dalida | Je suis malade
Dalida | Je suis toutes les femmes
Dalida | Kalimba de luna
Dalida | La danse de Zorba
Dalida | La vie en rose
Dalida | Laissez-moi danser
Dalida | Le lambeth Walk
Dalida | Le petit bonheur
Dalida | Le petit Gonzalès
Dalida | Le temps des fleurs
Dalida | Les enfants du Pirée
Dalida | Les Gitans
Dalida | Les grilles de ma maison
Dalida | Mourir sur scène
Dalida | Nuits d'Espagne
Dalida | Paroles, paroles
Dalida | Pour ne pas vivre seul
Dalida | Quand on n'a que l'Amour
Dalida | Romantica
Dalida | Tico Tico
Dalida | Tu croiras
Dalida | Une femme à quarante ans
Daniel Balavoine | Aimer est plus fort que d'être aimé
Daniel Balavoine | Dieu que c'est beau
