1789 les amants de la bastille | Au palais royal
Richard Anthony | Aranjuez mon Amour
Richard Anthony | Belle maman
Richard Anthony | Boude pas
Richard Anthony | Ce monde
Richard Anthony | C'est ma fête
Richard Anthony | Dis à Laura
Richard Anthony | Donne-moi ma chance
Richard Anthony | Ecoute dans le vent
Richard Anthony | En écoutant la pluie
Richard Anthony | Et je men vais
Richard Anthony | Etranger dans la nuit
Richard Anthony | Faits Pour S'aimer
Richard Anthony | Fiche le camps Jack
Richard Anthony | Fille sauvage
Richard Anthony | Hello Pussycat
Richard Anthony | Itsy Bitsy Petit Bikini
Richard Anthony | Jamais je ne vivrai sans toi
Richard Anthony | J'entends siffler le train
Richard Anthony | J'irai pleurer sous la pluie
Richard Anthony | J'irai twister le Blues
Richard Anthony | La corde au cou
Richard Anthony | La fille d'Ipanema
Richard Anthony | La leçon de twist
Richard Anthony | La rue des coeurs perdus
Richard Anthony | La terre promise
Richard Anthony | L'an 2005
Richard Anthony | Le sirop typhon
Richard Anthony | Le vagabond
Richard Anthony | Les Ballons
Richard Anthony | Lundi Lundi
Richard Anthony | Maggy Mai
Richard Anthony | Na Na He He Espoir
Richard Anthony | Ne t'en fais pas mon vieux
Richard Anthony | Oui va plus loin
Richard Anthony | Peggy Sue
Richard Anthony | Séverine
Richard Anthony | Sunny
Richard Anthony | Tchin Tchin
Richard Anthony | Toi L'ami
Richard Anthony | Tu m'étais destinée
Richard Anthony | Tu Peux La Prendre
Richard Anthony | Un matin
Richard Anthony | Va plus loin
Richard Cocciante | Au clair de tes silences
Richard Cocciante | Avec simplicité
Richard Cocciante | Il mio rifugio
Richard Cocciante | Le coup de soleil
Richard Cocciante | Marguerite
Richard Cocciante | Si tu me revenais
Richard Gotainer | Polochon blues
Ricoune | Dans un verre à ballon
Ridan | Ulysse
Rika Zaraï | Alors je chante
Rika Zaraï | Sans chemise, sans pantalon
Rita Mitsouko | Andy
Rita Mitsouko | C'est comme ça
Rita Mitsouko | Les histoires d'A
Rita Mitsouko | Marci Baïla
Robert Charlebois | Je reviendrai à Montréal
Robert Charlebois | Les ailes d'un ange
Robert Charlebois | Lindberg
Robert Cogoi | Je m'sens très seul
Roberto Alagna | L'amour est un bouquet de violettes
Roberto Alagna | Salade fruits
Robin des bois | Un monde a changé
Roch Voisine | California Dreaming
Roch Voisine | City of New Orleans
Roch Voisine | Hélène
Roch Voisine | Je l'ai vu
Roch Voisine | Je te serai fidèle
Roch Voisine | La berceuse du petit diable
Roch Voisine | La légende Oochigeas
Roch Voisine | Laisse-la rêver
Roch Voisine | Let it me be
Roch Voisine | Ne viens pas
Roch Voisine | Noël blanc
Roch Voisine | Tant pis
Roch Voisine | That's how I got to Memphis
Roméo | Maman
Roméo et Juliette | Aimer
Roméo et Juliette | Avoir une fille
Roméo et Juliette | Comment lui dire
Roméo et Juliette | La haine
Roméo et Juliette | Les rois du monde
Roméo et Juliette | Vérone
Rose | A l'envers
Rose Laurens | Africa
Sabine Paturel | Les bêtises
Sacha Distel | Ces mots stupides
Sacha Distel | La belle vie
Sacha Distel | L'incendie à Rio
Sacha Distel | Ma première guitare
Sacha Distel | Mon beau chapeau
Sacha Distel | Monsieur Cannibale
Sacha Distel | Oh quelle nuit
Sacha Distel | Scandale dans la famille
Sacha Distel | Scoubidou
Sacha Distel | Toute la pluie tombe sur moi
Sacha Distel | Tu es le soleil de ma vie
Saian Supa Crew | Angela
Salomé de Bahia | Que reste-t-il de nos Amours
Salut les copains | Laisse tomber les filles
Salut les copains | Poupée de cire, poupée de son
Salut les copains | Vous les copains
Salvatore Adamo | Ce Georges
Salvatore Adamo | C'est ma vie
Salvatore Adamo | Dans Ton Sommeil
Salvatore Adamo | Elle
Salvatore Adamo | Et maintenant
Salvatore Adamo | Et t'oublier
Salvatore Adamo | F comme Femme
Salvatore Adamo | Inch Allah
Salvatore Adamo | J'aime
Salvatore Adamo | J'avais oublié que les roses sont roses
Salvatore Adamo | Je danse
Salvatore Adamo | J'te lache plus
Salvatore Adamo | La nuit
Salvatore Adamo | Laissons dire
Salvatore Adamo | L'amour te ressemble
Salvatore Adamo | Le barbu sans barbe
Salvatore Adamo | Le ruisseau de mon enfance
Salvatore Adamo | Les filles du bord de mer
Salvatore Adamo | Mes mains sur tes hanches
Salvatore Adamo | N'est ce pas merveilleux
Salvatore Adamo | Notre Roman
Salvatore Adamo | Sans toi ma Mie
Salvatore Adamo | Si Jamais
Salvatore Adamo | Tombe la neige
Salvatore Adamo | Une larme aux nuages
Salvatore Adamo | Une mèche de cheveux
Salvatore Adamo | Viens ma brune
Salvatore Adamo | Vous permettez monsieur
Sandra Kim | J'aime la vie 
Sanseverino | La maison sur le port
Saule feat. Charlie Winston | Dusty Men
Sébastien El Chateau | Ca pleure aussi un homme
Sébastien El Chateau | Imagine
Sébastien El Chateau | Je l'Aime
Sébastien El Chateau | Le coeur d'une mère
Sébastien El Chato | Avoir une fille
Sébastien El Chato | Ça pleure aussi un homme
Sébastien El Chato | Garde-la
Sébastien El Chato | Je l'aime
Sébastien El Chato | Le coeur d'une mère
Sébastien El Chato | Que bonita eres
Sébastien Patoche | Quand il pète il troue son slip
Sébastien Perrin | Vive les tamalous
Serge Gainsbourg | 69 année érotique
Serge Gainsbourg | Aux armes et caetera
Serge Gainsbourg | Aux enfants de la chance
Serge Gainsbourg | Bonnie and Clyde
Serge Gainsbourg | Ces petits riens
Serge Gainsbourg | Comic Strip
Serge Gainsbourg | Couleur Café
Serge Gainsbourg | Dieu est un fumeur de havanes
Serge Gainsbourg | Elisa
Serge Gainsbourg | Initials B.B
Serge Gainsbourg | Je suis venu te dire que je m'en vais
Serge Gainsbourg | La ballade de Melody Nelson
Serge Gainsbourg | La chanson de Prévert
Serge Gainsbourg | La Javanaise
Serge Gainsbourg | L'ami Caouette
Serge Gainsbourg | L'Anamour
Serge Gainsbourg | Le poinçonneur des Lilas
Serge Gainsbourg | Lemon Incest
Serge Gainsbourg | Love On The Beat
Serge Gainsbourg | Mon légionnaire
Serge Gainsbourg | Requiem pour un con
Serge Gainsbourg | Sea Sex and Sun
Serge Gainsbourg | Sous le soleil exactement
Serge Gainsbourg | Vieille canaille 
Serge Lama | Alors que l'on s'est tant aimés
Serge Lama | C'est toujours comme ça la première fois
Serge Lama | Chez moi
Serge Lama | D'aventures en aventures
Serge Lama | Donnez moi une musique
Serge Lama | D'où qu'on parte
Serge Lama | Du ventre plat au ventre rond
Serge Lama | Encore une heure, encore un jour
Serge Lama | Et puis, on s'aperçoit
Serge Lama | Femme femme femme
Serge Lama | J'arrive à l'heure
Serge Lama | Je suis malade
Serge Lama | Je t'aime
Serge Lama | Je t'aime à la folie
Serge Lama | Je te partage
Serge Lama | Je voudrais tant que tu sois là
Serge Lama | Je vous salue Marie
Serge Lama | J'espère
Serge Lama | La chanteuse a vingt ans
Serge Lama | La fille dans l'église
Serge Lama | La vie, lilas
Serge Lama | L'Algérie
Serge Lama | Le 15 juillet à 5 heures
Serge Lama | Le dernier baiser
Serge Lama | Le roi du café-tabac
Serge Lama | Le temps de la rengaine
Serge Lama | L'enfant au piano
Serge Lama | L'enfant d'un autre
Serge Lama | Les ballons rouges live
Serge Lama | Les glycines
Serge Lama | Les ports de l'Atlantique
Serge Lama | Les p'tites femmes de Pigalle
Serge Lama | L'esclave
Serge Lama | Marie, la polonaise
Serge Lama | Mon ami, mon maître
Serge Lama | Mon frère
Serge Lama | Napoléone
Serge Lama | Seul tout seul
Serge Lama | Soirée sympathique
Serge Lama | Souvenirs attention danger
Serge Lama | Star
Serge Lama | Superman
Serge Lama | Tarzan est heureux
Serge Lama | Toute blanche
Serge Reggiani | Il suffirait de presque rien
Serge Reggiani | La cinquantaine
Serge Reggiani | Le barbier de Belleville
Serge Reggiani | Le temps qui reste
Serge Reggiani | L'italien
Serge Reggiani | Ma fille
Serge Reggiani | Ma liberté
Serge Reggiani | Ma solitude
Serge Reggiani | Sarah
Serge Reggiani | Votre fille a vingt ans
Séverine | Un banc, un arbre, une rue
Sexion d'Assaut | Désolé
Sexion d'Assaut | Disque d'or
Sexion d'Assaut | Problèmes d'adultes
Sexion d'Assaut | Ma direction
Sheila | Adios Amor
Sheila | Bang bang
Sheila | Le folklore américain
Sheila | L'école est finie
Sheila | Les rois mages
Sheila | Vous les copains
Sheila | Les gondoles à Venise
Sherazad | Sur les parfums de ta peau
Sherifa Luna | Quelque part
Sheryfa Luna | Au revoir
Sheryfa Luna | Ce qu'ils aiment
Shy'm | Black Marilyn
Shy'm | Caméléon
Shy'm | Comme ils disent
Shy'm | Comme un oiseau
Shy'm | Contrôle
Shy'm | Déjà vu
Shy'm | Elle
Shy'm | Elle danse
Shy'm | En apesanteur
Shy'm | Et alors
Shy'm | Et si
Shy'm | Femme de couleur
Shy'm | Je sais
Shy'm | Je suis moi
Shy'm | La première fois
Shy'm | Le blues de toi
Shy'm | Mauvaises nouvelles
Shy'm | Ne pars pas
Shy'm | Oublie-moi
Shy'm | Petit Tom
Shy'm | Prendre l'air
Shy'm | Rêves d'enfants
Shy'm | Si tu savais
Shy'm | Tandem
Shy'm | T'es parti
Shy'm | Tourne
Shy'm | Victoire
Sidaction | Et un jour une femme
Sidaction | Fais moi une place
Sidaction | Foule sentimentale
Sidaction | J'te l'dis quand même
Sidaction | L'envie d'aimer
Sidaction | Lucie
Singuila | Rossignol
Sinsemilia | La mauvaise réputation
Sinsemilia | Tout le bonheur du monde
Soeur sourire | Dominique
Sofia Essaidi | J'croque la vie
Soldat Louis | Du Rhum, des femmes
Soma Riba | Femme libérée
Sonia Lacen | Je serai là
Soprano | Barman
Soprano | Barman
Soprano | Clown
Soprano | Cosmo
Soprano | Hiro
Soprano | Mélancolie
Stacey Kent | Ces petits riens
Stacey Kent | Jardin d'hiver
Stacey Kent | Les eaux de Mars
Stacey Kent | Que reste-t-il de nos Amours
Stacey Kent | Samba Saravah
Stanislas | La belle de Mai
Stanislas | Les lignes de la main
Starmania | Banlieue Nord
Starmania | Ce soir on danse au Naziland
Starmania | Ego Trip
Starmania | J'ai besoin d'Amour
Starmania | La chanson de Zyggy
Starmania | La complainte de la serveuse automate
Starmania | Le blues du businessman
Starmania | Le monde est stone
Starmania | Le rêve de Stella Spotlight
Starmania | Les Adieux d'un Sex Symbol
Starmania | Les uns contre les autres
Starmania | Monopolis
Starmania | Only The Very Best
Starmania | Paranoïa
Starmania | Petite musique terrienne
Starmania | Quand on a plus rien a perdre
Starmania | Quand on arrive en ville
Starmania | S.O.S d'un terrien en detresse
Starmania | Travesti
Starmania | Zyggy
Stephan Eicher | Des hauts, des bas
Stéphane Eicher | Pas d'ami comme toi
Sting | La belle dame sans regret
Stone & Charden | Laisse aller la musique
Stone & Charden | Made in Normandie
Stone et Charden | L'Avventura
Stromae | Alors on danse
Stromae | carmen
Stromae | Formidable
Stromae | Papaoutai
Stromae | Quand c'est
Stromae | Tous les mêmes
Superbus | Butterfly
Sylvie Vartan | Bye Bye Leroy Brown
Sylvie Vartan | Cheveux au vent
Sylvie Vartan | Comme un garçon
Sylvie Vartan | Da dou ron ron
Sylvie Vartan | J'ai un problème
Sylvie Vartan | Je chante pour Swanee
Sylvie Vartan | La drôle de fin
Sylvie Vartan | La Maritza
Sylvie Vartan | La panne d'essence
Sylvie Vartan | La plus belle pour aller danser
Sylvie Vartan | L'Amour c'est comme une cigarette
Sylvie Vartan | Le Locomotion
Sylvie Vartan | Madison Twist
Sylvie Vartan | Mon père
Sylvie Vartan | Mr John B.
Sylvie Vartan | Nicolas
Sylvie Vartan | Par amour, par pitié
Sylvie Vartan | Parle moi de ta vie
Sylvie Vartan | Qu'est-ce qui fait pleurer les blondes
Sylvie Vartan | Si je chante
Syntax | Pride
Tal | A l'international
Tal | Au delà
Tal | Je prends le large
Tal | Le droit de rêver
Tal | Le sens de la vie
Tal | Marcher au soleil
Tal | On avance
Tal | Oublie
Tal | Rien n'est parfait
Téléphone | Argent trop cher
Téléphone | Au coeur de la nuit
Téléphone | Ca c'est vraiment toi
Téléphone | Cendrillon
Téléphone | La bombe humaine
Téléphone | Le jour s'est levé
Téléphone | New York avec toi
Téléphone | Un autre monde
Telephone | Ça (c'est vraiment toi)
Superbus | Un autre monde
Teri Moïse | Je serai là
Tété | A la faveur de l'Automne
The McGuire Sisters | Chanson d'Amour
The Shorts | Comment ça va
Thierry Amiel | Coeur Sacré
Thierry Amiel | Les mots Bleus
Thierry Hazard | Le Jerk
Thierry Hazard | Les brouillards de Londre
Thierry Hazard | Poupée Psychédélique
Thierry Le Luron | Nous nous reverrons un jour ou l'autre
Thierry Pastor | Le coup de folie
Tikay | La vie en rose
Tina Arena | Aimer jusqu'à l'impossible
Tina Arena | Aller plus haut
Tina Arena | Je m'appelle Bagdad
Tina Arena | Les trois cloches
Tina Arena | L'un pour l'autre
Tina Arena | Tu es toujours là
Tina Arena | Vanina
Tino Rossi | La Cucaracha
Tino Rossi | Le plus beau de tous les tangos du monde
Tino Rossi | Méditerranée
Tino Rossi | Noël blanc
Tino Rossi | Petit Papa Noël
Tino Rossi | Tango bleu
Tom Frager | Lady Melody
Tony Carreira | J'ai oublié de vivre
Tony Carreira | Les eaux de Mars
Tony Carreira | L'oiseau et l'enfant
Tony Carreira | Qui saura
Tout ce qui brille | Chanson sur ma drôle de vie
Traditionel | Le temps des cerises
Traditionnel | Joyeux Anniversaire
Tri Yann | La jument de Michao
Tri Yann | Les prisons de Nantes
Tropical Family | Belle île en Mer
Tropical Family | Les sunlights des tropiques
Tropical Family | Maldon'
Tropical Family | Mélissa
Tropical Family | Obsesion
Tropical Family | Sensualité
Tryo | Charlie
Tryo | Ce que l'on s'aime
Tryo | Désolé pour hier soir
Tryo | Greenwashing
Tryo | Toi et moi
Tryo | Serre moi
Tryo | La main verte
Tryo | Salut O
Ugo Juergens | Merci Chérie
Un éternel hiver | Les mûres
United Planet | Change le monde
Ute Lemper | Parler d'Amour
Valérie Carpentier | Le rendez-vous
Vanessa Paradis | Emmenez-moi
Vanessa Paradis | Il y a
Vanessa Paradis | Joe le taxi
Vanessa Paradis | La chanson des vieux cons
Vanessa Paradis | Le tourbillon
Vanessa Paradis | Marilyn et John
Vanessa Paradis | Pas besoin de permis
Vanessa Paradis | Tandem
Vaya Con Dios | Pauvre diable
Vaya Con Dios | Quand elle rit aux éclats
Veronica Antico | J'perds le nord
Véronique Jannot | Aviateur
Véronique Sanson | Amoureuse
Véronique Sanson | Bahia
Véronique Sanson | Bernard's song
Véronique Sanson | Besoin de personne
Véronique Sanson | Chanson sur ma drôle de vie
Véronique Sanson | Cliques Claques
Véronique Sanson | Comme je l'imagine
Véronique Sanson | Féminin
Véronique Sanson | Je me suis tellement manquée
Véronique Sanson | Juste pour toi
Véronique Sanson | Le temps est assassin
Véronique Sanson | Ma révérence
Véronique Sanson | Mélancolie
Véronique Sanson | Qu'on me pardonne
Véronique Sanson | Rien que de l'eau
Véronique Sanson | Une nuit sur son épaule
Véronique Sanson | Vancouver
Vianney | On est bien comme ça
Vianney | Pas là
Vicky Léandros | Après toi
Vicky Léandros | Notre tango d'Amour
Victoria Abril | Tu verras
Vigon Bamy Jay | Les moulins de mon coeur
Viktor Lazlo | Pleurer des rivières
Vincent Niclo | Dis-lui
Vincent Niclo | Jusqu'à l'ivresse
Vincent Niclo | Maman, la plus belle du monde
Vincent Scotto | Sous les ponts de Paris
Vitaa | Danse ta vie 
William Baldé | Elle rêve
William Baldé | Rayon de soleil
William Baldé | Sweet lady
William Sheller | Comme dans un vieux rock'n roll
William Sheller | Dans un vieux Rock'n Roll
William Sheller | Le carnet à spirale
William Sheller | Rock'n dollars
William Sheller | Un homme heureux
Willy Denzey | L'orphelin
Willy William | Ego
Yannick | Ces soirées là
Yannick Noah | Angela
Yannick Noah | Dans l'eau de la claire fontaine
Yannick Noah | Destination ailleurs
Yannick Noah | Hello
Yannick Noah | Jam Africa
Yannick Noah | Les Lionnes
Yannick Noah | Mon Eldorado
Yannick Noah | On court
Yannick Noah | Ose
Yannick Noah | Saga Africa
Ycare | Alison
Ycare | Lapdance
Ycare | Sors
Ycare | Une vie
Yelle | A cause des garçons
Yelle | Je veux te voir
Yoann Fréget | Ca vient de là-haut
Yoni | Je ne veux que toi
Yuri Buenaventura | Ne me quitte pas
Yuri Buenaventura | Une belle histoire
Yvan Rebroff | Ah si j'étais riche
Yves Duteil | Apprendre
Yves Duteil | Blessures d'enfance
Yves Duteil | J'ai la guitare qui me démange
Yves Duteil | La langue de chez nous
Yves Duteil | La puce et le pianiste
Yves Duteil | La rumeur
Yves Duteil | Le mur de la prison d'en face
Yves Duteil | Le petit pont de bois
Yves Duteil | Mélancolie
Yves Duteil | Pour les enfants du monde entier
Yves Duteil | Pour que tu ne meures pas
Yves Duteil | Prendre un enfant
Yves Duteil | Tarentelle
Yves Duteil | Ton absence
Yves Duteil | Virages
Yves Montand | A Bicyclette
Yves Montand | A Paris
Yves Montand | C'est si bon
Yves Montand | Dans les plaines du Far West
Yves Montand | En sortant de l'école
Yves Montand | La chansonnette
Yves Montand | Le temps des cerises
Yves Montand | Les feuilles mortes
Yves Montand | Les grands boulevards
Yves Montand | Les roses de Picardie
Yves Montand | Mon pote le Gitan
Yves Montand | Sous le ciel de Paris
Yves Montand | Trois petites notes de musique
Yves Simon | Au pays des merveilles de Juliet
Zaho | C'est Chelou
Zaho | Je te promets
Zaho | La roue tourne
ZAZ | A Paris
Zaz | Ces petits riens
ZAZ | Champs Elysées
Zaz | Dans ma rue
Zaz | Eblouie par la nuit
Zaz | Gamine
ZaZ | I love Paris
Zaz | Il est cinq heures, Paris s'éveille
Zaz | J'ai deux Amours
Zaz | J'aime à nouveau
Zaz | Je veux
ZAZ | La complainte de la butte
Zaz | La fée
Zaz | La vie en rose
Zaz | Le long de la route
Zaz | Les passants
Zaz | L'oiseau
Zaz | On ira
Zaz | Paris canaille
ZAZ | Paris sera toujours Paris
Zaz | Si jamais j'oublie
Zaz | Si je perds
ZAZ | Sous le ciel de Paris
Zaz | Trop sensible
Zaza Fournier | La vie à deux
Zaza Fournier | Mademoiselle
Zazie | Au diable nos Adieux
Zazie | Ca fait mal et ça fait rien
Zazie | Chanson d'ami
Zazie | Homme sweet homme
Zazie | Je suis un homme
Zazie | J'envoie valser
Zazie | Larsen
Zazie | Tous des anges
Zazie | Tout le monde
Zazie | Un petit peu amoureux
Zazie | Un point c'est toi
Zazie | Zen
Zebda | Tomber la chemise
Zizi Jeanmaire | Ca, c'est Paris
Zizi Jeanmaire | Mon truc en plumes
Zorro le musical | Bamboleo
Zouk Machine | Maldon
